YuJ_2015	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.10234	0	0.10041	0.02669	0.23022	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.07342	0.22552	0.04369	0.0464	0.26634	0.00612	0.01945	0.00039	0.38363	0.01449
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.0273	0	0.004	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.02622	0.01741	0	0	0.00291	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.02069	0	0	0	0	0	1.21247	0.00277	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.01612	0.03015	0.00518	0.00615	0	0.00593	0	0.01233	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.00523	0.05778	0.00013	0.08893	0.01092	0.0597	0.12388	0.02991	0.04819	0.05267
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.00381	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.00342	0	0.01305	0.0275	0.00909	0	0.00545	0.00274	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.0029	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.00252	0	0	0.00249	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.00013	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	31.87952	19.43741	0.01785	7.70884	17.78972	0.00752	0.00811	0.01055	0.01272	0.40143
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	18.51855	0.27501	0.46498	1.14408	0.34376	1.35262	20.74596	0.74329	29.43147	9.76696
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	6.47257	29.86756	0.65416	10.07076	17.09787	44.48521	3.56148	25.02079	40.28762	19.71717
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	5.06759	5.86581	3.75096	4.07016	3.24111	0.77709	9.40314	0.49388	0.28595	4.4948
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	4.06923	8.28321	1.09646	0.96577	15.44556	2.13667	1.85781	0.04043	6.47086	0.4852
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	3.59905	6.68686	0.83968	4.00862	2.48501	0.61315	0.01138	0.00943	0.13048	0.86743
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	3.38274	0.74957	0.20665	1.04849	0.70646	1.05068	2.00286	1.01738	0.67568	2.32177
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	3.09127	0	0.16211	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2.67484	1.86456	0.38607	4.75129	10.72591	27.54125	0.48269	0.00048	3.6066	2.43736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	1.62446	0.01439	0.48878	34.37663	2.3217	2.38787	21.93735	0	0.26056	1.69412
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	1.47746	0.6077	2.31614	0.5864	0.46737	0.00254	0.0068	0.26952	0	0.00413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	1.42748	0.00719	0.07357	0	0.14908	0	0	0.00055	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	1.42601	0.57431	0.4427	0.95785	0.34692	0.76502	0.82267	0.0706	0	0.56544
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	1.28657	0.57476	37.27002	1.84551	20.36757	0.05272	9.39515	11.44861	0.23735	0.03726
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	1.27202	1.64331	1.16302	3.98319	0.88337	0.51207	14.13487	13.62705	0.80738	2.30389
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	1.01576	1.46986	0.21542	0.77992	0.61679	0.18401	2.06999	1.16255	0.07363	0.19369
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.93645	0.4495	3.82955	2.01844	0.29057	0.41291	1.18024	0.02307	0.19486	0.56994
